"cluster","month","day","ave_occupancy","predicted"
4,1,24,0.374674235621727,0.398408958586762
4,1,25,0.428137957025787,0.396350222641623
4,1,26,0.479606652602398,0.46715699917982
4,1,27,0.529923603468969,0.490536873931167
4,1,29,0.415556081977351,0.350370580987668
4,1,30,0.433087937726421,0.395771269653739
4,1,31,0.427820135453691,0.398408958586762
4,2,1,0.482177999003887,0.396350222641623
4,2,2,0.48224807691241,0.46715699917982
4,2,3,0.508744217609498,0.490536873931167
4,2,5,0.456255536424489,0.350370580987668
4,2,6,0.402960335204755,0.395771269653739
4,2,7,0.431474222857653,0.398408958586762
4,2,8,0.457648823630831,0.396350222641623
4,2,9,0.512660895059852,0.46715699917982
4,2,10,0.509930489267765,0.490536873931167
4,2,12,0.405135738535041,0.350370580987668
4,2,13,0.449550729267044,0.395771269653739
4,2,14,0.437190639050322,0.398408958586762
4,2,15,0.428633005983134,0.396350222641623
4,2,16,0.454518231120665,0.46715699917982
4,2,17,0.527382615597943,0.490536873931167
4,2,19,0.381011711273414,0.350370580987668
4,2,20,0.444293618273354,0.395771269653739
4,2,21,0.430630372825663,0.398408958586762
4,2,22,0.466227868672929,0.396350222641623
4,2,23,0.526748931114781,0.46715699917982
4,2,24,0.556823717605168,0.490536873931167
4,2,26,0.436468597290127,0.350370580987668
4,2,27,0.393892319542359,0.395771269653739
4,2,28,0.416809896827965,0.398408958586762
4,2,29,0.440400774702843,0.396350222641623
4,3,1,0.504009554172356,0.46715699917982
4,3,2,0.590851915427144,0.490536873931167
4,3,4,0.452492603422184,0.350370580987668
4,3,5,0.457662042636868,0.395771269653739
4,3,6,0.448373781273513,0.398408958586762
4,3,7,0.452415013341961,0.396350222641623
4,3,8,0.506345272530636,0.46715699917982
4,3,9,0.543680862584828,0.490536873931167
4,3,11,0.437169249698546,0.350370580987668
4,3,12,0.493810228378769,0.395771269653739
4,3,13,0.51740499116809,0.398408958586762
4,3,14,0.51738970948366,0.396350222641623
4,3,15,0.535366786619535,0.46715699917982
4,3,16,0.555114507918957,0.490536873931167
4,3,18,0.427074515979186,0.350370580987668
4,3,19,0.448584087658991,0.395771269653739
4,3,20,0.474235665417613,0.398408958586762
4,3,21,0.476910524803817,0.396350222641623
4,3,22,0.498071887222909,0.46715699917982
4,3,23,0.540792523877043,0.490536873931167
4,3,25,0,0.350370580987668
4,3,26,0,0.395771269653739
4,3,27,0.000523349436392914,0.398408958586762
4,3,28,0.010254150371904,0.396350222641623
4,3,29,0.433160029230639,0.46715699917982
4,3,30,0.325087759570878,0.490536873931167
4,4,1,0.2587826863458,0.350370580987668
4,4,2,0.420714192920033,0.395771269653739
4,4,3,0.440240192447864,0.398408958586762
4,4,4,0.442947046881546,0.396350222641623
4,4,5,0.50596745831794,0.46715699917982
4,4,6,0.508374490137182,0.490536873931167
4,4,8,0.349607996066736,0.350370580987668
4,4,9,0.411467787724229,0.395771269653739
4,4,10,0.46492547059062,0.398408958586762
4,4,11,0.445053613863772,0.396350222641623
4,4,12,0.475245299604915,0.46715699917982
4,4,13,0.532295473834361,0.490536873931167
4,4,15,0.406564317580229,0.350370580987668
4,4,16,0.43934167256375,0.395771269653739
